dataset,seed,cohort,scope,feature,mean_abs_shap,rank,mean_signed_shap,positive_fraction,negative_fraction
stats19,2207,internal,overall,feature_weather_conditions,0.11569328820400542,4,0.007226899548010317,0.80649999999999999,0.19350000000000001
stats19,2207,internal,overall,feature_road_surface_conditions,0.036582814674482309,16,-0.0068544652484742357,0.39679999999999999,0.60319999999999996
stats19,2207,internal,overall,feature_special_conditions_at_site,0.031469354338233911,17,0.00029317238230048729,0.95809999999999995,0.0419
stats19,2207,internal,overall,feature_carriageway_hazards,0.040353501442505345,15,0.00028130096641522639,0.93910000000000005,0.060900000000000003
stats19,2207,internal,overall,feature_urban_or_rural_area,0.075454867626342473,10,-0.0003611556056246239,0.35699999999999998,0.64300000000000002
stats19,2207,internal,overall,feature_trunk_road_flag,0.059376773970544278,13,0.0056793175615170634,0.67310000000000003,0.32690000000000002
stats19,2207,internal,overall,feature_speed_limit,0.21491841677150172,1,-0.0077764867114240872,0.8498,0.1502
stats19,2207,internal,overall,feature_month,0.082944651130408553,8,-0.0012161191780988108,0.50339999999999996,0.49659999999999999
stats19,2207,internal,overall,feature_hour,0.12683652254224492,3,-0.0054627171282701425,0.47449999999999998,0.52549999999999997
stats19,2207,internal,Slight,feature_day_of_week,0.047073596420375327,11,0.00065446071109912895,0.55469999999999997,0.44529999999999997
stats19,2207,internal,Slight,feature_first_road_class,0.053284851775017447,9,0.0032226734187433947,0.47910000000000003,0.52090000000000003
stats19,2207,internal,Slight,feature_road_type,0.10239599195010717,2,0.0012033500465841423,0.26369999999999999,0.73629999999999995
stats19,2207,internal,Slight,feature_junction_detail,0.044118964186979893,13,0.0075967367231884308,0.55249999999999999,0.44750000000000001
stats19,2207,internal,Slight,feature_junction_control,0.046107041628391923,12,0.0029296390886259494,0.19850000000000001,0.80149999999999999
stats19,2207,internal,Slight,feature_second_road_class,0.091685855011692005,3,-0.021042801279465857,0.49270000000000003,0.50729999999999997
stats19,2207,internal,Slight,feature_pedestrian_crossing,0.042153063451602829,14,0.0090638270297130341,0.45689999999999997,0.54310000000000003
stats19,2207,internal,Slight,feature_light_conditions,0.064076127417386233,7,-0.012346987785781591,0.56820000000000004,0.43180000000000002
stats19,2207,internal,Slight,feature_weather_conditions,0.071666142195864452,6,-0.0024743676799819023,0.19309999999999999,0.80689999999999995
stats19,2207,internal,Slight,feature_road_surface_conditions,0.027709132495099247,15,2.9794711871653147e-05,0.34350000000000003,0.65649999999999997
stats19,2207,internal,Slight,feature_special_conditions_at_site,0.012326726303957664,17,0.0012739390172494052,0.0579,0.94210000000000005
stats19,2207,internal,Slight,feature_carriageway_hazards,0.015835853502890494,16,-3.2119405933516099e-05,0.1087,0.89129999999999998
stats19,2207,internal,Slight,feature_urban_or_rural_area,0.088594289065554138,4,-0.010958703553174642,0.67269999999999996,0.32729999999999998
stats19,2207,internal,Slight,feature_trunk_road_flag,0.059002216529837961,8,-0.0063915184502882421,0.17469999999999999,0.82530000000000003
stats19,2207,internal,Slight,feature_speed_limit,0.14169196428417316,1,0.013664964570397302,0.72189999999999999,0.27810000000000001
stats19,2207,internal,Slight,feature_month,0.053162695527440372,10,0.0033661074987829734,0.49890000000000001,0.50109999999999999
stats19,2207,internal,Slight,feature_hour,0.08675558967990199,5,0.013228544981187258,0.56840000000000002,0.43159999999999998
stats19,2207,internal,Serious,feature_day_of_week,0.038505325127657503,6,7.3340931991021426e-05,0.5071,0.4929
stats19,2207,internal,Serious,feature_first_road_class,0.057678611784188288,3,0.0023190645303753036,0.48089999999999999,0.51910000000000001
stats19,2207,internal,Serious,feature_road_type,0.019072840316781109,11,0.00028410630647462916,0.54100000000000004,0.45900000000000002
stats19,2207,internal,Serious,feature_junction_detail,0.028663544287303295,8,-6.5004068771391308e-05,0.40629999999999999,0.59370000000000001
stats19,2207,internal,Serious,feature_junction_control,0.029625675665703129,7,0.00056721186504094,0.4955,0.50449999999999995
stats19,2207,internal,Serious,feature_second_road_class,0.015177855923902748,14,0.0036931428859321414,0.6129,0.3871
stats19,2207,internal,Serious,feature_pedestrian_crossing,0.019857418882191717,10,0.0019133917731939782,0.43969999999999998,0.56030000000000002
stats19,2207,internal,Serious,feature_light_conditions,0.021537521471558085,9,-0.00012437955174723892,0.4032,0.5968
stats19,2207,internal,Serious,feature_weather_conditions,0.015377006195773424,13,-6.3215474792714717e-05,0.36280000000000001,0.63719999999999999
stats19,2207,internal,Serious,feature_road_surface_conditions,0.014836334852977749,15,-0.0013186938328502396,0.3281,0.67190000000000005
stats19,2207,internal,Serious,feature_special_conditions_at_site,0.002903213758240761,17,-0.00025373615241605196,0.27039999999999997,0.72960000000000003
stats19,2207,internal,Serious,feature_carriageway_hazards,0.01688070518093571,12,-0.000136361981874335,0.10150000000000001,0.89849999999999997
stats19,2207,internal,Serious,feature_urban_or_rural_area,0.010980614429556026,16,-0.00073505683939145043,0.4753,0.52470000000000006
stats19,2207,internal,Serious,feature_trunk_road_flag,0.04286878234481712,5,-0.0013839255026495622,0.18459999999999999,0.81540000000000001
stats19,2207,internal,Serious,feature_speed_limit,0.052167373615709757,4,-0.0061651259122335643,0.68240000000000001,0.31759999999999999
