dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
stats19,3301,future,lightgbm_legacy,qwk,0.048555621312046826,0.041528634215944937,0.05529530583454232
stats19,3301,future,lightgbm_revised,qwk,0.048555621312046826,0.041528634215944937,0.05529530583454232
stats19,3301,future,dummy_most_frequent,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
stats19,3301,future,logistic_weighted,ordinal_mae,0.42539657376123335,0.42192822535099628,0.42884485816481221
stats19,3301,future,lightgbm_legacy,ordinal_mae,0.37873908864823091,0.37579611996789758,0.38166298413704952
stats19,3301,future,lightgbm_revised,ordinal_mae,0.37873908864823091,0.37579611996789758,0.38166298413704952
stats19,3301,future,dummy_most_frequent,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
stats19,3301,future,logistic_weighted,accuracy,0.64531790303883008,0.64311779801242475,0.64766613492920622
stats19,3301,future,lightgbm_legacy,accuracy,0.6591595905951827,0.65683092730389292,0.66144837357694175
stats19,3301,future,lightgbm_revised,accuracy,0.6591595905951827,0.65683092730389292,0.66144837357694175
stats19,3301,future,dummy_most_frequent,fatal_recall,0,0,0
stats19,3301,future,logistic_weighted,fatal_recall,0.21171770972037285,0.19174434087882822,0.23235685752330226
stats19,3301,future,lightgbm_legacy,fatal_recall,0.11118508655126498,0.095206391478029298,0.12584886817576554
stats19,3301,future,lightgbm_revised,fatal_recall,0.11118508655126498,0.095206391478029298,0.12584886817576554
stats19,3301,future,dummy_most_frequent,serious_or_fatal_recall,0,0,0
stats19,3301,future,logistic_weighted,serious_or_fatal_recall,0.21289241692927521,0.20782540189078144,0.21764031273684631
stats19,3301,future,lightgbm_legacy,serious_or_fatal_recall,0.21169571981331525,0.20658981211855279,0.21668195779648172
stats19,3301,future,lightgbm_revised,serious_or_fatal_recall,0.21169571981331525,0.20658981211855279,0.21668195779648172
stats19,3301,future,dummy_most_frequent,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
stats19,3301,future,logistic_weighted,mean_asymmetric_cost,0.64436672050095611,0.6403536714655147,0.64843971385258647
stats19,3301,future,lightgbm_legacy,mean_asymmetric_cost,0.60099874166476763,0.59743155944395454,0.60467516125516463
stats19,3301,future,lightgbm_revised,mean_asymmetric_cost,0.60099874166476763,0.59743155944395454,0.60467516125516463
stats19,4409,internal,dummy_most_frequent,macro_f1,0.2920448032329826,0.2920448032329826,0.2920448032329826
stats19,4409,internal,logistic_weighted,macro_f1,0.32412101253059294,0.3217647137899885,0.32642850057954242
stats19,4409,internal,lightgbm_legacy,macro_f1,0.35654154379015668,0.35361202549504156,0.35946654526845712
stats19,4409,internal,lightgbm_revised,macro_f1,0.35654154379015668,0.35361202549504156,0.35946654526845712
stats19,4409,internal,dummy_most_frequent,qwk,0,0,0
stats19,4409,internal,logistic_weighted,qwk,0.097944483384811654,0.093932881023656323,0.10193616907290623
stats19,4409,internal,lightgbm_legacy,qwk,0.11682350677036391,0.11199590398152877,0.1220464166109862
stats19,4409,internal,lightgbm_revised,qwk,0.11682350677036391,0.11199590398152877,0.1220464166109862
stats19,4409,internal,dummy_most_frequent,ordinal_mae,0.23491826404447763,0.23491826404447763,0.23491826404447763
stats19,4409,internal,logistic_weighted,ordinal_mae,0.69830304539042398,0.69344841714380545,0.70293959007551243
stats19,4409,internal,lightgbm_legacy,ordinal_mae,0.53739316239316237,0.53312925275910716,0.54141798398473151
stats19,4409,internal,lightgbm_revised,ordinal_mae,0.53739316239316237,0.53312925275910716,0.54141798398473151
stats19,4409,internal,dummy_most_frequent,accuracy,0.77957223466932202,0.77957223466932202,0.77957223466932202
stats19,4409,internal,logistic_weighted,accuracy,0.48242884407932951,0.4793894178906315,0.4854371525184632
stats19,4409,internal,lightgbm_legacy,accuracy,0.54839847315575474,0.54535878765247703,0.55165572359140325
stats19,4409,internal,lightgbm_revised,accuracy,0.54839847315575474,0.54535878765247703,0.55165572359140325
stats19,4409,internal,dummy_most_frequent,fatal_recall,0,0,0
stats19,4409,internal,logistic_weighted,fatal_recall,0.65139584824624197,0.62777380100214741,0.67573371510379387
stats19,4409,internal,lightgbm_legacy,fatal_recall,0.38797423049391555,0.36292054402290624,0.41304581245526117
stats19,4409,internal,lightgbm_revised,fatal_recall,0.38797423049391555,0.36292054402290624,0.41304581245526117
stats19,4409,internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
stats19,4409,internal,logistic_weighted,serious_or_fatal_recall,0.61865323984753662,0.61215942779163335,0.62533527833984281
stats19,4409,internal,lightgbm_legacy,serious_or_fatal_recall,0.54948002446943678,0.54308032563173503,0.55573972989506382
stats19,4409,internal,lightgbm_revised,serious_or_fatal_recall,0.54948002446943678,0.54308032563173503,0.55573972989506382
stats19,4409,internal,dummy_most_frequent,mean_asymmetric_cost,0.48432702680275497,0.48432702680275497,0.48432702680275497
stats19,4409,internal,logistic_weighted,mean_asymmetric_cost,0.7924653555721517,0.78721630984980495,0.7975588125466766
stats19,4409,internal,lightgbm_legacy,mean_asymmetric_cost,0.65443739108787657,0.64951015475894114,0.65930239191768314
stats19,4409,internal,lightgbm_revised,mean_asymmetric_cost,0.65443739108787657,0.64951015475894114,0.65930239191768314
stats19,4409,future,dummy_most_frequent,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
stats19,4409,future,logistic_weighted,macro_f1,0.33184567837897461,0.32889356694537358,0.33486385638013738
stats19,4409,future,lightgbm_legacy,macro_f1,0.35734263621217899,0.35375638951748456,0.36078134485723962
stats19,4409,future,lightgbm_revised,macro_f1,0.35734263621217899,0.35375638951748456,0.36078134485723962
stats19,4409,future,dummy_most_frequent,qwk,0,0,0
stats19,4409,future,logistic_weighted,qwk,0.034892101265761921,0.028345137406398532,0.041250771104727128
stats19,4409,future,lightgbm_legacy,qwk,0.064175745561472097,0.057377139385725598,0.070744542494250995
stats19,4409,future,lightgbm_revised,qwk,0.064175745561472097,0.057377139385725598,0.070744542494250995
stats19,4409,future,dummy_most_frequent,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
stats19,4409,future,logistic_weighted,ordinal_mae,0.42181973109277004,0.41872789243710801,0.42502031171044419
stats19,4409,future,lightgbm_legacy,ordinal_mae,0.39265013326463682,0.38955879001654659,0.39578110911847175
stats19,4409,future,lightgbm_revised,ordinal_mae,0.39265013326463682,0.38955879001654659,0.39578110911847175
stats19,4409,future,dummy_most_frequent,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
stats19,4409,future,logistic_weighted,accuracy,0.64748778820335495,0.64529783903217175,0.64966758151931592
