dataset,seed,cohort,scope,feature,mean_abs_shap,rank,mean_signed_shap,positive_fraction,negative_fraction
cas,2207,internal,Minor,feature_traffic_control,0.16117628157220409,2,-0.012569342918044476,0.31143851033353798,0.68856148966646202
cas,2207,internal,Minor,feature_urban,0.027618438705907255,14,-0.0055260050042349974,0.54430120728463272,0.45569879271536728
cas,2207,internal,Minor,feature_weather_primary,0.1308762280767401,4,0.003987778018310119,0.20339676693267852,0.7966032330673215
cas,2207,internal,Minor,feature_weather_secondary,0.030193373087088395,13,-0.0015872572237657207,0.10169838346633926,0.8983016165336607
cas,2207,internal,Serious,feature_advisory_speed,0.03495710092172892,9,-0.0020212050021693835,0.16595048086760794,0.83404951913239211
cas,2207,internal,Serious,feature_light,0.076886217536992901,4,8.1580588747579011e-05,0.49089420912625331,0.50910579087374663
cas,2207,internal,Serious,feature_number_of_lanes,0.070322286683966242,6,-0.0032745702986430774,0.22856558215674239,0.77143441784325761
cas,2207,internal,Serious,feature_road_character,0.03034689352877739,11,0.0021756472296978442,0.42336811950071618,0.57663188049928382
cas,2207,internal,Serious,feature_road_lane,0.026522722997917934,12,-0.00045152591260072604,0.53939021894823003,0.46060978105177003
cas,2207,internal,Serious,feature_road_surface,0.015386593278849295,15,0.00099068827604559891,0.14589727849396358,0.85410272150603639
cas,2207,internal,Serious,feature_speed_limit,0.14165639630908392,1,-0.0055056433174483837,0.52752199713525683,0.47247800286474317
cas,2207,internal,Serious,feature_state_highway,0.071855756983055796,5,0.0038272186094799225,0.60364231634949872,0.39635768365050134
cas,2207,internal,Serious,feature_street_light,0.080604449195703323,3,-0.006772616471841463,0.42848373235113568,0.57151626764886432
cas,2207,internal,Serious,feature_temporary_speed_limit,0.015624499331966767,14,0.00056206546339202087,0.17290771434417843,0.8270922856558216
cas,2207,internal,Serious,feature_terrain,0.053728102436163563,7,0.0054790931866730364,0.42132187436054841,0.57867812563945165
cas,2207,internal,Serious,feature_traffic_control,0.090416113890818786,2,0.0037914642197710699,0.34908942091262535,0.65091057908737471
cas,2207,internal,Serious,feature_urban,0.031649977370178384,10,-2.0844502806965689e-05,0.34499693063228976,0.65500306936771024
cas,2207,internal,Serious,feature_weather_primary,0.052735895723738102,8,0.0059062782862807431,0.55801104972375692,0.44198895027624308
cas,2207,internal,Serious,feature_weather_secondary,0.024442755348360334,13,-0.0039283019323078138,0.67178227951708613,0.32821772048291387
cas,2207,internal,overall,feature_advisory_speed,0.037590062609051615,13,-0.0032554152620324728,0.1033353795784735,0.8966646204215265
cas,2207,internal,overall,feature_light,0.16472625325840515,5,-0.002273050379399556,0.45774503785553511,0.54225496214446489
cas,2207,internal,overall,feature_number_of_lanes,0.21086204264916319,3,0.0020954477181592815,0.79291999181501949,0.20708000818498057
cas,2207,internal,overall,feature_road_character,0.043378101842652741,12,0.0045602090233395768,0.74974421935747904,0.25025578064252096
