group,model,metric,estimate,ci_lower,ci_upper
random_seed_5501_2024,lightgbm_weighted,mean_asymmetric_cost,0.63320023383237389,0.62873116212708191,0.63768912184053828
random_seed_5501_2024,lightgbm_weighted,ordinal_mae,0.4640383643623609,0.46036219247574978,0.46757582212886545
random_seed_5501_2024,lightgbm_weighted,qwk,0.10197094496706516,0.095811921948931983,0.10801793993538229
random_seed_5501_2024,lightgbm_weighted,serious_or_fatal_recall,0.40911085404284175,0.40284714188838805,0.41529578363716146
random_seed_5501_2024,logistic_unweighted,accuracy,0.7516224597976755,0.75161255164623941,0.7516422761005479
random_seed_5501_2024,logistic_unweighted,fatal_recall,0,0,0
random_seed_5501_2024,logistic_unweighted,macro_f1,0.28609489930585702,0.28606499420199677,0.28615470236774893
random_seed_5501_2024,logistic_unweighted,mean_asymmetric_cost,0.54140121077610548,0.54136157817036079,0.54142102707897788
random_seed_5501_2024,logistic_unweighted,ordinal_mae,0.26325958365947666,0.26323976735660426,0.26326949181091286
random_seed_5501_2024,logistic_unweighted,qwk,4.9820369513842166e-05,0,0.00014945632337803882
random_seed_5501_2024,logistic_unweighted,serious_or_fatal_recall,3.9889903865331685e-05,0,0.00011966971159599506
random_seed_5501_2024,logistic_weighted,accuracy,0.54256046449413931,0.53975645763769853,0.54533524230384345
random_seed_5501_2024,logistic_weighted,fatal_recall,0.54727030625832229,0.52330226364846866,0.57190412782956057
random_seed_5501_2024,logistic_weighted,macro_f1,0.33742745908447341,0.33496766836923009,0.34006407207601425
random_seed_5501_2024,logistic_weighted,mean_asymmetric_cost,0.74177375727010608,0.7366705638728982,0.7467890158233178
random_seed_5501_2024,logistic_weighted,ordinal_mae,0.59658961427566459,0.59242769526489436,0.60095935676280876
random_seed_5501_2024,logistic_weighted,qwk,0.10218630586808908,0.097193258904885574,0.10707173568618396
random_seed_5501_2024,logistic_weighted,serious_or_fatal_recall,0.4697435079181459,0.46367824803542224,0.47624556224819498
random_seed_5501_internal,dummy_most_frequent,accuracy,0.77957223466932202,0.77957223466932202,0.77957223466932202
random_seed_5501_internal,dummy_most_frequent,fatal_recall,0,0,0
random_seed_5501_internal,dummy_most_frequent,macro_f1,0.2920448032329826,0.2920448032329826,0.2920448032329826
random_seed_5501_internal,dummy_most_frequent,mean_asymmetric_cost,0.48432702680275497,0.48432702680275497,0.48432702680275497
random_seed_5501_internal,dummy_most_frequent,ordinal_mae,0.23491826404447763,0.23491826404447763,0.23491826404447763
random_seed_5501_internal,dummy_most_frequent,qwk,0,0,0
random_seed_5501_internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
random_seed_5501_internal,lightgbm_weighted,accuracy,0.54494440295411173,0.54186348643266125,0.54798356982823004
random_seed_5501_internal,lightgbm_weighted,fatal_recall,0.36864710093056552,0.34430923407301361,0.39370078740157483
random_seed_5501_internal,lightgbm_weighted,macro_f1,0.35363301805494896,0.35077184629240621,0.35644925064847921
random_seed_5501_internal,lightgbm_weighted,mean_asymmetric_cost,0.65833748236660861,0.65359565596216085,0.66331658161148455
random_seed_5501_internal,lightgbm_weighted,ordinal_mae,0.54132437142145884,0.53730862584017924,0.54572234669322051
random_seed_5501_internal,lightgbm_weighted,qwk,0.11486343570790702,0.10963793627856372,0.11996730788571831
random_seed_5501_internal,lightgbm_weighted,serious_or_fatal_recall,0.55216225118817941,0.54552726930497386,0.55865723965931013
random_seed_5501_internal,logistic_unweighted,accuracy,0.77948925400381708,0.77942701850468843,0.77955148950294584
random_seed_5501_internal,logistic_unweighted,fatal_recall,0,0,0
