group,candidate,reference,metric,delta,ci_lower,ci_upper,design,iterations
random_seed_3301_2024,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,-0.090629861186798388,-0.095228234268332518,-0.086111744131897372,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_weighted,ordinal_mae,-0.11106046944821507,-0.11476686119670647,-0.10728521604724203,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_weighted,qwk,-0.010728251532539756,-0.016363878688236896,-0.0051785528081528141,paired_true_class_stratified,2000
random_seed_3301_2024,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,-0.04683074713789942,-0.052455223582911159,-0.041046711077426301,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,dummy_most_frequent,accuracy,-0.23640154344037834,-0.239378474815368,-0.23325813210521951,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,dummy_most_frequent,fatal_recall,0.37365783822476734,0.34931997136721549,0.39872942018611296,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,dummy_most_frequent,macro_f1,0.059884471252707572,0.056997790909546778,0.062699423091544484,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,dummy_most_frequent,mean_asymmetric_cost,0.17918637457472408,0.17429025599535308,0.18413487469919509,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,dummy_most_frequent,ordinal_mae,0.3102232179902083,0.30599094473487681,0.31435176541365867,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,dummy_most_frequent,qwk,0.11019892616209559,0.1049326036441932,0.11522926194956362,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,dummy_most_frequent,serious_or_fatal_recall,0.54533904286857093,0.53837348830643261,0.55178579831537344,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_unweighted,accuracy,-0.23640154344037834,-0.2393787341299477,-0.23326824537382795,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_unweighted,fatal_recall,0.37365783822476734,0.34931997136721549,0.39872942018611296,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_unweighted,macro_f1,0.059849676924819961,0.056992740109350216,0.062659881998954114,paired_true_class_stratified,2000
