evaluation_group,evaluation_design,seed,metric,higher_is_better,contrast,logistic_value,lightgbm_value,point_difference,ci_lower,ci_upper,iterations,valid_iterations,bootstrap_design
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,minor_recall,True,lightgbm_minus_logistic,0.5319873510094868,0.55351495986378008,0.021527608854293279,0.0120408659693505,0.031257601556798797,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,ordinal_mae,False,lightgbm_minus_logistic,0.7360083475621324,0.66856383987858092,-0.06744450768355148,-0.079681274900398447,-0.054733447163726079,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,qwk,True,lightgbm_minus_logistic,0.098593991256192282,0.097099843162031796,-0.0014941480941604857,-0.012629284450049552,0.010216709569903162,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.64008620689655171,0.6056034482758621,-0.034482758620689613,-0.053017241379310409,-0.015948275862068928,2000,2000,paired_stratified
random_seed_3301_2025_diagnostic,random_2025_diagnostic,3301,serious_recall,True,lightgbm_minus_logistic,0.25473071324599711,0.29839883551673946,0.043668122270742349,0.023289665211062571,0.064046579330422126,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,accuracy,True,lightgbm_minus_logistic,0.48496009821976671,0.50787804378964596,0.02291794556987925,0.0098219766728054325,0.035809289952936363,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,fatal_recall,True,lightgbm_minus_logistic,0.66165413533834583,0.43609022556390975,-0.22556390977443608,-0.30827067669172936,-0.14285714285714285,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,macro_f1,True,lightgbm_minus_logistic,0.32804693551481534,0.33431407510491717,0.0062671395901018334,-0.0058370951306231517,0.018818916206311976,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.82525066502967059,0.78432576222631467,-0.040924902803355923,-0.062615101289134389,-0.018615715162676509,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,minor_recall,True,lightgbm_minus_logistic,0.54564533053515218,0.57187827911857292,0.026232948583420734,0.01101783840503678,0.041448058761804907,2000,2000,paired_stratified
random_seed_3301_internal_test,random_internal_test,3301,ordinal_mae,False,lightgbm_minus_logistic,0.7219152854511971,0.65623081645181092,-0.065684468999386181,-0.084714548802946599,-0.046245140167792131,2000,2000,paired_stratified
