evaluation_scope,split_slug,protocol,seed,model,family,reporting_role,test_rows,transform_seconds,prediction_seconds,unseen_total,unseen_by_feature,preprocessor_action,preprocessor_fit_operations
random_model_on_2024,random_seed_1103,random_reference,1103,dummy_most_frequent,D8,primary_floor,100927,0.9529756000265479,0.0037107999669387937,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_model_on_2024,random_seed_1103,random_reference,1103,logistic_unweighted,D8,secondary_linear_baseline,100927,0.9488444000016898,0.03019090002635494,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_model_on_2024,random_seed_1103,random_reference,1103,logistic_weighted,D8,primary_linear_comparator,100927,1.033689100004267,0.02996379998512566,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_model_on_2024,random_seed_1103,random_reference,1103,ordered_logit_unweighted,D9,secondary_ordinal_baseline,100927,1.4693076999974437,0.025797299982514232,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_model_on_2024,random_seed_1103,random_reference,1103,lightgbm_weighted,D10,primary_nonlinear_comparator,100927,0.428010199975688,12.815521500015166,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_model_on_2024,random_seed_2207,random_reference,2207,dummy_most_frequent,D8,primary_floor,100927,0.9146106999833137,0.0032016999903135,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_model_on_2024,random_seed_2207,random_reference,2207,logistic_unweighted,D8,secondary_linear_baseline,100927,0.9796955000492744,0.03913980000652373,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_model_on_2024,random_seed_2207,random_reference,2207,logistic_weighted,D8,primary_linear_comparator,100927,0.9860537999775261,0.033305699995253235,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_model_on_2024,random_seed_2207,random_reference,2207,ordered_logit_unweighted,D9,secondary_ordinal_baseline,100927,1.4694172000163235,0.02432499994756654,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
random_model_on_2024,random_seed_2207,random_reference,2207,lightgbm_weighted,D10,primary_nonlinear_comparator,100927,0.40404779999516904,13.859257899981458,2,"{""feature_carriageway_hazards"": 0, ""feature_day_of_week"": 0, ""feature_first_road_class"": 0, ""feature_hour"": 0, ""feature_junction_control"": 0, ""feature_junction_detail"": 2, ""feature_light_conditions"": 0, ""feature_month"": 0, ""feature_pedestrian_crossing"": 0, ""feature_road_surface_conditions"": 0, ""feature_road_type"": 0, ""feature_second_road_class"": 0, ""feature_special_conditions_at_site"": 0, ""feature_trunk_road_flag"": 0, ""feature_urban_or_rural_area"": 0, ""feature_weather_conditions"": 0}",transform_only,0
