feature_name,category,total_count,total_pct,years_present,pre_2024_count,year_2024_count,rare_global_lt_100,semantic_unknown_or_not_applicable,unseen_in_2018_2023_but_present_2024,present_2018_2023_but_absent_2024,D5_action,count_2018,count_2019,count_2020,count_2021,count_2022,count_2023,count_2024
feature_road_surface_conditions,4:Frost or ice,8773,0.011797279888549122,2018;2019;2020;2021;2022;2023;2024,7758,1015,False,False,False,False,retain_category,1417,1185,764,1208,1723,1461,1015
feature_road_surface_conditions,5:Flood over 3cm. deep,1133,0.0015235743888893372,2018;2019;2020;2021;2022;2023;2024,941,192,False,False,False,False,retain_category,135,177,184,135,131,179,192
feature_road_surface_conditions,9:unknown (self reported),8311,0.011176016545506868,2018;2019;2020;2021;2022;2023;2024,6641,1670,False,True,False,False,retain_explicit_semantic_category,1035,1050,847,1024,1068,1617,1670
feature_special_conditions_at_site,-1:Data missing or out of range,64079,0.08616868778962034,2018;2019;2020;2021;2022;2023;2024,4780,59299,False,True,False,False,retain_explicit_semantic_category,109,240,218,351,746,3116,59299
feature_special_conditions_at_site,0:None,649311,0.8731452868703657,2018;2019;2020;2021;2022;2023;2024,611272,38039,False,False,False,False,retain_category,118495,113157,87309,96444,101033,94834,38039
feature_special_conditions_at_site,1:Auto traffic signal - out,1820,0.0024474010483482734,2018;2019;2020;2021;2022;2023;2024,1686,134,False,False,False,False,retain_category,284,276,213,319,297,297,134
feature_special_conditions_at_site,2:Auto signal part defective,303,0.0004074519327744653,2018;2019;2020;2021;2022;2023;2024,277,26,False,False,False,False,retain_category,42,38,47,51,54,45,26
feature_special_conditions_at_site,3:Road sign or marking defective or obscured,1105,0.0014859220650685944,2018;2019;2020;2021;2022;2023;2024,1027,78,False,False,False,False,retain_category,183,200,158,157,173,156,78
feature_special_conditions_at_site,4:Roadworks,8132,0.010935310618224262,2018;2019;2020;2021;2022;2023;2024,7666,466,False,False,False,False,retain_category,1372,1328,1106,1410,1225,1225,466
feature_special_conditions_at_site,5:Road surface defective,1557,0.0020937381496034402,2018;2019;2020;2021;2022;2023;2024,1464,93,False,False,False,False,retain_category,282,240,228,248,224,242,93
feature_special_conditions_at_site,6:Oil or diesel,921,0.0012384925085322856,2018;2019;2020;2021;2022;2023;2024,879,42,False,False,False,False,retain_category,177,183,151,130,122,116,42
feature_special_conditions_at_site,7:Mud,1640,0.0022053503952149276,2018;2019;2020;2021;2022;2023;2024,1562,78,False,False,False,False,retain_category,276,295,317,203,213,258,78
feature_special_conditions_at_site,9:unknown (self reported),14778,0.019872358622247684,2018;2019;2020;2021;2022;2023;2024,12106,2672,False,True,False,False,retain_explicit_semantic_category,1415,1579,1452,1774,1917,3969,2672
feature_carriageway_hazards,-1:Data missing or out of range,5019,0.006749179044868122,2018;2019;2020;2021;2022;2023;2024,4598,421,False,True,False,False,retain_explicit_semantic_category,81,197,196,325,713,3086,421
feature_carriageway_hazards,0:None,697077,0.9373774618568512,2018;2019;2020;2021;2022;2023;2024,603555,93522,False,False,False,False,retain_category,117063,111885,86179,95154,99640,93634,93522
feature_carriageway_hazards,11:Defective traffic signals,2272,0.0030552171328831193,2018;2019;2020;2021;2022;2023;2024,1962,310,False,False,False,False,retain_category,325,314,260,370,351,342,310
feature_carriageway_hazards,12:Permanent road signing or markings defective or obscured or inadequate,1236,0.0016620811515156405,2018;2019;2020;2021;2022;2023;2024,1027,209,False,False,False,False,retain_category,183,200,158,157,173,156,209
feature_carriageway_hazards,13:Roadworks,8862,0.011916960489265053,2018;2019;2020;2021;2022;2023;2024,7666,1196,False,False,False,False,retain_category,1372,1328,1106,1410,1225,1225,1196
feature_carriageway_hazards,14:Oil or diesel,1040,0.0013985148847704418,2018;2019;2020;2021;2022;2023;2024,916,124,False,False,False,False,retain_category,214,183,151,130,122,116,124
feature_carriageway_hazards,15:Mud,1867,0.002510603163333091,2018;2019;2020;2021;2022;2023;2024,1562,305,False,False,False,False,retain_category,276,295,317,203,213,258,305
feature_carriageway_hazards,16:Dislodged vehicle load in carriageway,1621,0.0021798006040508523,2018;2019;2020;2021;2022;2023;2024,1422,199,False,False,False,False,retain_category,240,261,206,236,240,239,199
feature_carriageway_hazards,17:Other object in carriageway,6638,0.008926290197217494,2018;2019;2020;2021;2022;2023;2024,5695,943,False,False,False,False,retain_category,907,896,926,1015,1017,934,943
feature_carriageway_hazards,18:Involvement with previous collision,1260,0.00169435457193342,2018;2019;2020;2021;2022;2023;2024,1069,191,False,False,False,False,retain_category,186,199,146,172,170,196,191
feature_carriageway_hazards,19:Pedestrian in carriageway - not injured,1486,0.0019982626142008427,2018;2019;2020;2021;2022;2023;2024,1237,249,False,False,False,False,retain_category,230,212,147,189,235,224,249
feature_carriageway_hazards,20:Any animal in carriageway (except ridden horse),2230,0.002998738647152005,2018;2019;2020;2021;2022;2023;2024,1965,265,False,False,False,False,retain_category,370,339,306,342,333,275,265
feature_carriageway_hazards,21:Poor or defective road surface,1795,0.002413782902079753,2018;2019;2020;2021;2022;2023;2024,1464,331,False,False,False,False,retain_category,282,240,228,248,224,242,331
feature_carriageway_hazards,99:unknown (self reported),11243,0.015118752739878921,2018;2019;2020;2021;2022;2023;2024,8581,2662,False,True,False,False,retain_explicit_semantic_category,906,987,873,1136,1348,3331,2662
feature_urban_or_rural_area,-1:Data missing or out of range,9,1.2102532656667285e-05,2018;2023,9,0,True,True,False,True,retain_explicit_semantic_category,1,0,0,0,0,8,0
feature_urban_or_rural_area,1:Urban,502019,0.6750779268630505,2018;2019;2020;2021;2022;2023;2024,434715,67304,False,False,False,False,retain_category,82583,79533,61737,68787,71763,70312,67304
feature_urban_or_rural_area,2:Rural,241475,0.32471767480763697,2018;2019;2020;2021;2022;2023;2024,207855,33620,False,False,False,False,retain_category,39996,37975,29448,32283,34219,33934,33620
feature_urban_or_rural_area,3:Unallocated,143,0.00019229579665593576,2018;2019;2020;2021;2022;2023;2024,140,3,False,False,False,False,retain_category,55,28,14,17,22,4,3
feature_trunk_road_flag,-1:Data missing or out of range,56540,0.07603079960088537,2018;2019;2020;2021;2022;2023;2024,49460,7080,False,True,False,False,retain_explicit_semantic_category,10619,10001,6710,7203,7440,7487,7080
feature_trunk_road_flag,1:Trunk (Roads managed by Highways England),48014,0.06456566699746923,2018;2019;2020;2021;2022;2023;2024,41519,6495,False,False,False,False,retain_category,8460,7905,5267,6539,6771,6577,6495
feature_trunk_road_flag,2:Non-trunk,639092,0.8594035334016454,2018;2019;2020;2021;2022;2023;2024,551740,87352,False,False,False,False,retain_category,103556,99630,79222,87345,91793,90194,87352
feature_month,M01,60729,0.08166385618963862,2018;2019;2020;2021;2022;2023;2024,52428,8301,False,False,False,False,retain_category,10115,9371,9591,5570,9027,8754,8301
feature_month,M02,54664,0.07350809390489561,2018;2019;2020;2021;2022;2023;2024,47127,7537,False,False,False,False,retain_category,9256,8838,8546,5251,7678,7558,7537
feature_month,M03,56551,0.07604559158524352,2018;2019;2020;2021;2022;2023;2024,48738,7813,False,False,False,False,retain_category,8930,9427,6551,6824,8823,8183,7813
feature_month,M04,53026,0.07130543296138216,2018;2019;2020;2021;2022;2023;2024,45380,7646,False,False,False,False,retain_category,9037,8899,3298,8463,7933,7750,7646
feature_month,M05,62762,0.08439768384419469,2018;2019;2020;2021;2022;2023;2024,53779,8983,False,False,False,False,retain_category,11050,9758,5599,9120,9177,9075,8983
feature_month,M06,65444,0.08800423857588154,2018;2019;2020;2021;2022;2023;2024,56380,9064,False,False,False,False,retain_category,10995,9942,6721,9623,9349,9750,9064
feature_month,M07,65909,0.08862953609647602,2018;2019;2020;2021;2022;2023;2024,57404,8505,False,False,False,False,retain_category,10985,10325,8157,9608,9167,9162,8505
feature_month,M08,62361,0.08385844877804761,2018;2019;2020;2021;2022;2023;2024,54170,8191,False,False,False,False,retain_category,9679,9534,8875,8726,8939,8417,8191
feature_month,M09,66477,0.08939334037969679,2018;2019;2020;2021;2022;2023;2024,57639,8838,False,False,False,False,retain_category,10495,10222,9258,9871,8776,9017,8838
feature_month,M10,67330,0.0905403915303787,2018;2019;2020;2021;2022;2023;2024,58261,9069,False,False,False,False,retain_category,10897,10311,8865,9711,9334,9143,9069
feature_month,M11,67362,0.09058342275760241,2018;2019;2020;2021;2022;2023;2024,58443,8919,False,False,False,False,retain_category,11168,10937,7610,9975,9592,9161,8919
feature_month,M12,61031,0.08206996339656235,2018;2019;2020;2021;2022;2023;2024,52970,8061,False,False,False,False,retain_category,10028,9972,8128,8345,8209,8288,8061
feature_hour,H00,11516,0.015485862897131162,2018;2019;2020;2021;2022;2023;2024,9870,1646,False,False,False,False,retain_category,1850,1893,1188,1500,1733,1706,1646
feature_hour,H01,8087,0.010874797954940927,2018;2019;2020;2021;2022;2023;2024,7023,1064,False,False,False,False,retain_category,1267,1327,915,1067,1226,1221,1064
feature_hour,H02,5994,0.008060286749340412,2018;2019;2020;2021;2022;2023;2024,5220,774,False,False,False,False,retain_category,1053,966,658,777,892,874,774
feature_hour,H03,5001,0.006724973979554788,2018;2019;2020;2021;2022;2023;2024,4359,642,False,False,False,False,retain_category,835,827,566,635,792,704,642
feature_hour,H04,4601,0.006187083639258464,2018;2019;2020;2021;2022;2023;2024,4011,590,False,False,False,False,retain_category,798,791,508,585,697,632,590
feature_hour,H05,7068,0.009504522313036041,2018;2019;2020;2021;2022;2023;2024,6128,940,False,False,False,False,retain_category,1198,1169,855,934,939,1033,940
feature_hour,H06,14422,0.019393636219383954,2018;2019;2020;2021;2022;2023;2024,12446,1976,False,False,False,False,retain_category,2481,2404,1830,1892,1946,1893,1976
feature_hour,H07,31092,0.041810216151233245,2018;2019;2020;2021;2022;2023;2024,27031,4061,False,False,False,False,retain_category,5638,5353,3736,3912,4186,4206,4061
feature_hour,H08,48076,0.06464904000021515,2018;2019;2020;2021;2022;2023;2024,41473,6603,False,False,False,False,retain_category,8538,8127,5267,6000,6943,6598,6603
feature_hour,H09,33321,0.04480761007253451,2018;2019;2020;2021;2022;2023;2024,28863,4458,False,False,False,False,retain_category,5875,5497,3917,4389,4593,4592,4458
feature_hour,H10,32946,0.04430333787850671,2018;2019;2020;2021;2022;2023;2024,28525,4421,False,False,False,False,retain_category,5489,5190,4173,4350,4748,4575,4421
feature_hour,H11,37840,0.050884426192032234,2018;2019;2020;2021;2022;2023;2024,32719,5121,False,False,False,False,retain_category,6110,5960,4812,5260,5372,5205,5121
feature_hour,H12,42968,0.0577801803546311,2018;2019;2020;2021;2022;2023;2024,37307,5661,False,False,False,False,retain_category,7116,6601,5395,6180,6138,5877,5661
feature_hour,H13,44497,0.0598362661804138,2018;2019;2020;2021;2022;2023;2024,38555,5942,False,False,False,False,retain_category,7138,6946,5741,6263,6342,6125,5942
feature_hour,H14,47280,0.06357863822302547,2018;2019;2020;2021;2022;2023;2024,40845,6435,False,False,False,False,retain_category,7554,6994,6245,6725,6766,6561,6435
feature_hour,H15,59862,0.08049797887704634,2018;2019;2020;2021;2022;2023;2024,51534,8328,False,False,False,False,retain_category,9500,9172,7361,8391,8521,8589,8328
feature_hour,H16,60965,0.08198121149041344,2018;2019;2020;2021;2022;2023;2024,52478,8487,False,False,False,False,retain_category,9905,9462,7381,8495,8556,8679,8487
feature_hour,H17,64541,0.08678995113266258,2018;2019;2020;2021;2022;2023;2024,55757,8784,False,False,False,False,retain_category,10615,10198,7813,8755,9160,9216,8784
feature_hour,H18,52801,0.07100286964496548,2018;2019;2020;2021;2022;2023;2024,45642,7159,False,False,False,False,retain_category,8891,8347,6618,7033,7365,7388,7159
feature_hour,H19,40250,0.05412521549231758,2018;2019;2020;2021;2022;2023;2024,34774,5476,False,False,False,False,retain_category,6479,6234,5048,5562,5898,5553,5476
feature_hour,H20,29418,0.039559145077093134,2018;2019;2020;2021;2022;2023;2024,25546,3872,False,False,False,False,retain_category,4697,4536,3715,4155,4295,4148,3872
feature_hour,H21,24019,0.032298970208943505,2018;2019;2020;2021;2022;2023;2024,20636,3383,False,False,False,False,retain_category,3676,3703,3106,3276,3367,3508,3383
feature_hour,H22,21017,0.028262103205019592,2018;2019;2020;2021;2022;2023;2024,18118,2899,False,False,False,False,retain_category,3266,3361,2555,2808,3081,3047,2899
feature_hour,H23,16064,0.021601676066300365,2018;2019;2020;2021;2022;2023;2024,13859,2205,False,False,False,False,retain_category,2666,2478,1796,2143,2448,2328,2205
