group,model,true,predicted,count
random_seed_3301_2024,lightgbm_weighted,1,2,1792
random_seed_3301_2024,lightgbm_weighted,2,0,762
random_seed_3301_2024,lightgbm_weighted,2,1,497
random_seed_3301_2024,lightgbm_weighted,2,2,243
random_seed_4409_internal,dummy_most_frequent,0,0,75157
random_seed_4409_internal,dummy_most_frequent,0,1,0
random_seed_4409_internal,dummy_most_frequent,0,2,0
random_seed_4409_internal,dummy_most_frequent,1,0,19854
random_seed_4409_internal,dummy_most_frequent,1,1,0
random_seed_4409_internal,dummy_most_frequent,1,2,0
random_seed_4409_internal,dummy_most_frequent,2,0,1397
random_seed_4409_internal,dummy_most_frequent,2,1,0
random_seed_4409_internal,dummy_most_frequent,2,2,0
random_seed_4409_internal,logistic_unweighted,0,0,75157
random_seed_4409_internal,logistic_unweighted,0,1,0
random_seed_4409_internal,logistic_unweighted,0,2,0
random_seed_4409_internal,logistic_unweighted,1,0,19853
random_seed_4409_internal,logistic_unweighted,1,1,1
random_seed_4409_internal,logistic_unweighted,1,2,0
random_seed_4409_internal,logistic_unweighted,2,0,1397
random_seed_4409_internal,logistic_unweighted,2,1,0
random_seed_4409_internal,logistic_unweighted,2,2,0
random_seed_4409_internal,logistic_weighted,0,0,40060
random_seed_4409_internal,logistic_weighted,0,1,17751
random_seed_4409_internal,logistic_weighted,0,2,17346
random_seed_4409_internal,logistic_weighted,1,0,7852
random_seed_4409_internal,logistic_weighted,1,1,5400
random_seed_4409_internal,logistic_weighted,1,2,6602
random_seed_4409_internal,logistic_weighted,2,0,238
random_seed_4409_internal,logistic_weighted,2,1,250
random_seed_4409_internal,logistic_weighted,2,2,909
random_seed_4409_internal,lightgbm_weighted,0,0,44734
random_seed_4409_internal,lightgbm_weighted,0,1,22436
random_seed_4409_internal,lightgbm_weighted,0,2,7987
random_seed_4409_internal,lightgbm_weighted,1,0,9145
random_seed_4409_internal,lightgbm_weighted,1,1,7354
random_seed_4409_internal,lightgbm_weighted,1,2,3355
random_seed_4409_internal,lightgbm_weighted,2,0,356
random_seed_4409_internal,lightgbm_weighted,2,1,493
random_seed_4409_internal,lightgbm_weighted,2,2,548
random_seed_4409_2024,dummy_most_frequent,0,0,75858
random_seed_4409_2024,dummy_most_frequent,0,1,0
random_seed_4409_2024,dummy_most_frequent,0,2,0
random_seed_4409_2024,dummy_most_frequent,1,0,23567
random_seed_4409_2024,dummy_most_frequent,1,1,0
random_seed_4409_2024,dummy_most_frequent,1,2,0
random_seed_4409_2024,dummy_most_frequent,2,0,1502
random_seed_4409_2024,dummy_most_frequent,2,1,0
random_seed_4409_2024,dummy_most_frequent,2,2,0
random_seed_4409_2024,logistic_unweighted,0,0,75858
random_seed_4409_2024,logistic_unweighted,0,1,0
random_seed_4409_2024,logistic_unweighted,0,2,0
random_seed_4409_2024,logistic_unweighted,1,0,23567
random_seed_4409_2024,logistic_unweighted,1,1,0
random_seed_4409_2024,logistic_unweighted,1,2,0
random_seed_4409_2024,logistic_unweighted,2,0,1502
random_seed_4409_2024,logistic_unweighted,2,1,0
random_seed_4409_2024,logistic_unweighted,2,2,0
random_seed_4409_2024,logistic_weighted,0,0,50148
random_seed_4409_2024,logistic_weighted,0,1,13720
random_seed_4409_2024,logistic_weighted,0,2,11990
random_seed_4409_2024,logistic_weighted,1,0,13249
random_seed_4409_2024,logistic_weighted,1,1,4990
random_seed_4409_2024,logistic_weighted,1,2,5328
random_seed_4409_2024,logistic_weighted,2,0,572
random_seed_4409_2024,logistic_weighted,2,1,213
random_seed_4409_2024,logistic_weighted,2,2,717
random_seed_4409_2024,lightgbm_weighted,0,0,52393
random_seed_4409_2024,lightgbm_weighted,0,1,18685
random_seed_4409_2024,lightgbm_weighted,0,2,4780
random_seed_4409_2024,lightgbm_weighted,1,0,14109
random_seed_4409_2024,lightgbm_weighted,1,1,7298
random_seed_4409_2024,lightgbm_weighted,1,2,2160
random_seed_4409_2024,lightgbm_weighted,2,0,715
random_seed_4409_2024,lightgbm_weighted,2,1,479
random_seed_4409_2024,lightgbm_weighted,2,2,308
random_seed_5501_internal,dummy_most_frequent,0,0,75157
random_seed_5501_internal,dummy_most_frequent,0,1,0
random_seed_5501_internal,dummy_most_frequent,0,2,0
random_seed_5501_internal,dummy_most_frequent,1,0,19854
random_seed_5501_internal,dummy_most_frequent,1,1,0
random_seed_5501_internal,dummy_most_frequent,1,2,0
random_seed_5501_internal,dummy_most_frequent,2,0,1397
random_seed_5501_internal,dummy_most_frequent,2,1,0
random_seed_5501_internal,dummy_most_frequent,2,2,0
random_seed_5501_internal,logistic_unweighted,0,0,75148
random_seed_5501_internal,logistic_unweighted,0,1,9
random_seed_5501_internal,logistic_unweighted,0,2,0
random_seed_5501_internal,logistic_unweighted,1,0,19853
random_seed_5501_internal,logistic_unweighted,1,1,1
random_seed_5501_internal,logistic_unweighted,1,2,0
random_seed_5501_internal,logistic_unweighted,2,0,1395
random_seed_5501_internal,logistic_unweighted,2,1,2
random_seed_5501_internal,logistic_unweighted,2,2,0
random_seed_5501_internal,logistic_weighted,0,0,40537
random_seed_5501_internal,logistic_weighted,0,1,17231
random_seed_5501_internal,logistic_weighted,0,2,17389
random_seed_5501_internal,logistic_weighted,1,0,7984
random_seed_5501_internal,logistic_weighted,1,1,5301
random_seed_5501_internal,logistic_weighted,1,2,6569
random_seed_5501_internal,logistic_weighted,2,0,223
random_seed_5501_internal,logistic_weighted,2,1,265
random_seed_5501_internal,logistic_weighted,2,2,909
random_seed_5501_internal,lightgbm_weighted,0,0,44684
random_seed_5501_internal,lightgbm_weighted,0,1,22524
random_seed_5501_internal,lightgbm_weighted,0,2,7949
random_seed_5501_internal,lightgbm_weighted,1,0,9149
random_seed_5501_internal,lightgbm_weighted,1,1,7338
random_seed_5501_internal,lightgbm_weighted,1,2,3367
random_seed_5501_internal,lightgbm_weighted,2,0,368
random_seed_5501_internal,lightgbm_weighted,2,1,514
random_seed_5501_internal,lightgbm_weighted,2,2,515
random_seed_5501_2024,dummy_most_frequent,0,0,75858
random_seed_5501_2024,dummy_most_frequent,0,1,0
random_seed_5501_2024,dummy_most_frequent,0,2,0
random_seed_5501_2024,dummy_most_frequent,1,0,23567
random_seed_5501_2024,dummy_most_frequent,1,1,0
random_seed_5501_2024,dummy_most_frequent,1,2,0
random_seed_5501_2024,dummy_most_frequent,2,0,1502
random_seed_5501_2024,dummy_most_frequent,2,1,0
random_seed_5501_2024,dummy_most_frequent,2,2,0
random_seed_5501_2024,logistic_unweighted,0,0,75858
random_seed_5501_2024,logistic_unweighted,0,1,0
random_seed_5501_2024,logistic_unweighted,0,2,0
random_seed_5501_2024,logistic_unweighted,1,0,23566
