year,field_name,observed_value,count,pct
2024,NumberOfLanes,7.0,10,0.0009394081728511038
2024,NumberOfLanes,8.0,6,0.0005636449037106623
2024,crashSHDescription,No,7479,0.7025833724753405
2024,crashSHDescription,Yes,3165,0.29732268670737433
2024,crashSHDescription,Unknown,1,9.394081728511038e-05
2024,flatHill,Flat,8266,0.7765147956787224
2024,flatHill,Hill Road,2328,0.21869422263973698
2024,flatHill,Null,51,0.004790981681540629
2024,light,Bright sun,4128,0.38778769375293565
2024,light,Overcast,3177,0.29844997651479566
2024,light,Dark,2783,0.2614372945044622
2024,light,Twilight,541,0.05082198215124471
2024,light,Unknown,16,0.0015030530765617661
2024,roadCharacter,Nil,10030,0.9422263973696571
2024,roadCharacter,Bridge,257,0.024142790042273366
2024,roadCharacter,Motorway ramp,169,0.015875998121183656
2024,roadCharacter,Speed hump,73,0.006857679661813058
2024,roadCharacter,Rail xing,36,0.003381869422263974
2024,roadCharacter,Overpass,36,0.003381869422263974
2024,roadCharacter,Underpass,26,0.00244246124941287
2024,roadCharacter,Tunnel,14,0.0013151714419915453
2024,roadCharacter,Tram lines,4,0.00037576326914044153
2024,roadLane,2-way,9116,0.8563644903710662
2024,roadLane,1-way,1296,0.12174729920150305
2024,roadLane,Off road,229,0.021512447158290277
2024,roadLane,Null,4,0.00037576326914044153
2024,roadSurface,Sealed,10342,0.9715359323626116
2024,roadSurface,Unsealed,288,0.02705495537811179
2024,roadSurface,Null,8,0.0007515265382808831
2024,roadSurface,End of seal,7,0.0006575857209957727
2024,streetLight,Off,4881,0.45852512916862376
2024,streetLight,None,3561,0.3345232503522781
2024,streetLight,On,2004,0.1882573978393612
2024,streetLight,Null,199,0.018694222639736965
2024,trafficControl,Nil,7266,0.682573978393612
2024,trafficControl,Give way,1902,0.17867543447627995
2024,trafficControl,Stop,759,0.07130108031939877
2024,trafficControl,Traffic Signals,690,0.06481916392672617
2024,trafficControl,Isolated Pedestrian signal (non-intersection),20,0.0018788163457022077
2024,trafficControl,Pointsman,3,0.00028182245185533113
2024,trafficControl,Unknown,3,0.00028182245185533113
2024,trafficControl,School Patrol/warden,2,0.00018788163457022076
2024,urban,Urban,6398,0.6010333489901362
2024,urban,Open,4247,0.3989666510098638
2024,weatherA,Fine,8816,0.8281822451855331
2024,weatherA,Light rain,1360,0.1277595115077501
2024,weatherA,Heavy rain,252,0.023673085955847818
2024,weatherA,Mist or Fog,193,0.018130577736026304
2024,weatherA,Null,17,0.0015969938938468764
2024,weatherA,Hail or Sleet,5,0.0004697040864255519
2024,weatherA,Snow,2,0.00018788163457022076
2024,weatherB,Null,10186,0.9568811648661343
2024,weatherB,Strong wind,267,0.02508219821512447
2024,weatherB,Frost,171,0.016063879755753876
2024,weatherB,None,21,0.001972757162987318
2024,holiday,__MISSING__,10074,0.9463597933302019
2024,holiday,Christmas New Year,253,0.023767026773132926
2024,holiday,Easter,115,0.010803193987787695
2024,holiday,Labour Weekend,106,0.0099577266322217
2024,holiday,Queens Birthday,97,0.009112259276655706
2025,advisorySpeed,__MISSING__,9987,0.9473534433693797
2025,advisorySpeed,45.0,114,0.010813887307911212
2025,advisorySpeed,35.0,106,0.010055018023145514
2025,advisorySpeed,65.0,89,0.008442420793018402
2025,advisorySpeed,55.0,86,0.008157844811231265
2025,advisorySpeed,75.0,76,0.007209258205274142
2025,advisorySpeed,85.0,42,0.00398406374501992
2025,advisorySpeed,25.0,28,0.0026560424966799467
2025,advisorySpeed,15.0,7,0.0006640106241699867
2025,advisorySpeed,95.0,7,0.0006640106241699867
2025,speedLimit,50.0,5095,0.4833048757351546
2025,speedLimit,100.0,3114,0.2953898690950484
2025,speedLimit,80.0,947,0.08983115158413964
2025,speedLimit,60.0,538,0.05103395940049327
2025,speedLimit,30.0,276,0.02618099032441662
2025,speedLimit,70.0,170,0.016125972301271108
2025,speedLimit,__MISSING__,161,0.015272244355909695
2025,speedLimit,40.0,120,0.011383039271485486
2025,speedLimit,110.0,47,0.004458357047998482
2025,speedLimit,10.0,34,0.0032251944602542213
2025,speedLimit,90.0,23,0.002181749193701385
2025,speedLimit,20.0,17,0.0016125972301271106
2025,temporarySpeedLimit,__MISSING__,10185,0.9661354581673307
2025,temporarySpeedLimit,30.0,159,0.01508252703471827
2025,temporarySpeedLimit,40.0,68,0.0064503889205084425
2025,temporarySpeedLimit,50.0,53,0.005027509011572757
2025,temporarySpeedLimit,20.0,19,0.0018023145513185355
2025,temporarySpeedLimit,70.0,17,0.0016125972301271106
2025,temporarySpeedLimit,60.0,15,0.0014228799089356858
2025,temporarySpeedLimit,80.0,12,0.0011383039271485487
2025,temporarySpeedLimit,10.0,8,0.0007588692847656991
2025,temporarySpeedLimit,90.0,6,0.0005691519635742744
2025,NumberOfLanes,2.0,8415,0.7982356289129198
2025,NumberOfLanes,4.0,746,0.07076456080440144
2025,NumberOfLanes,3.0,617,0.05852779358755454
2025,NumberOfLanes,1.0,381,0.03614114968696642
2025,NumberOfLanes,__MISSING__,148,0.014039081768165434
2025,NumberOfLanes,5.0,110,0.010434452665528362
2025,NumberOfLanes,0.0,71,0.00673496490229558
2025,NumberOfLanes,6.0,47,0.004458357047998482
2025,NumberOfLanes,7.0,4,0.00037943464238284955
2025,NumberOfLanes,8.0,3,0.0002845759817871372
2025,crashSHDescription,No,7423,0.7041358376019731
2025,crashSHDescription,Yes,3114,0.2953898690950484
2025,crashSHDescription,Unknown,5,0.0004742933029785619
2025,flatHill,Flat,8112,0.7694934547524189
2025,flatHill,Hill Road,2361,0.22396129766647696
2025,flatHill,Null,69,0.006545247581104155
2025,light,Bright sun,4173,0.3958451906659078
2025,light,Overcast,3126,0.2965281730221969
2025,light,Dark,2712,0.257256687535572
2025,light,Twilight,519,0.04923164484917473
2025,light,Unknown,12,0.0011383039271485487
2025,roadCharacter,Nil,9973,0.9460254221210397
2025,roadCharacter,Bridge,229,0.021722633276418137
2025,roadCharacter,Motorway ramp,164,0.015556820337696831
2025,roadCharacter,Speed hump,63,0.00597609561752988
2025,roadCharacter,Overpass,48,0.004553215708594195
2025,roadCharacter,Rail xing,31,0.002940618478467084
2025,roadCharacter,Underpass,22,0.0020868905331056726
2025,roadCharacter,Tunnel,10,0.0009485866059571238
