model,metric,direction,random_internal_mean_5_seeds,random_internal_sd_5_seeds,same_random_models_2024_mean_5_seeds,same_random_models_2024_sd_5_seeds,mean_oriented_optimism_gap_5_seeds,optimism_gap_sd_5_seeds,optimism_gap_minimum,optimism_gap_maximum,strict_temporal_2024_point,strict_temporal_2024_ci_lower,strict_temporal_2024_ci_upper,random_seed_summary_status,temporal_interval_status
logistic_unweighted,accuracy,higher_is_better,0.7794809559372666,4.363887637532205e-05,0.7516026434948032,0.0,0.0278783124424634,4.363887637532205e-05,0.0278347475930733,0.0279488460081426,0.7516125516462394,0.7515828271919308,0.7516422761005479,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_unweighted,serious_or_fatal_recall,higher_is_better,0.00023527994559529997,9.411598603509138e-05,0.0,0.0,0.0002352799455953,9.411598603510826e-05,0.0001411631846414,0.0003764528728059,3.9889903865331685e-05,0.0,0.0001196697115959,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_unweighted,mean_asymmetric_cost,lower_is_better,0.48436644261886974,8.659709345592813e-05,0.5414309352304141,0.0,0.0570644926115442,8.659709345590386e-05,0.0569586922630254,0.057186889093164,0.5414111189275417,0.5413615781703608,0.5414507515332865,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_weighted,macro_f1,higher_is_better,0.323935775693344,0.0008724303055105465,0.3409547729508108,0.008063162819158582,-0.0170189972574668,0.0076532484142594,-0.0252738834449748,-0.0077246658483816,0.3483373802058527,0.3453009414123272,0.3511869718391534,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_weighted,qwk,higher_is_better,0.09803923923721049,0.0013466532122222504,0.0542662908205659,0.01747880905391597,0.0437729484166445,0.01709516394201,0.0220256749518064,0.0630523821190497,0.0563524338992648,0.0496534164221116,0.0624480317382104,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_weighted,ordinal_mae,lower_is_better,0.6969815782922579,0.001966426759384553,0.43630544849247477,0.014785334196887339,-0.2606761297997831,0.0148939772423546,-0.2764833142976539,-0.2421130200914873,0.4296174462730488,0.4262281153705153,0.4330159422156608,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_weighted,accuracy,higher_is_better,0.48415069288855694,0.001890942114027335,0.6371734025582848,0.010633840152839287,-0.1530227096697277,0.0109990834406045,-0.1650589441240254,-0.1411106376887662,0.6395117262972247,0.6371137059458817,0.6419199025037899,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_weighted,fatal_recall,higher_is_better,0.6453402600913669,0.012325740097910069,0.2418109187749667,0.04573664026461246,0.4035293413164001,0.0388887314033495,0.3458821714109371,0.4503306019080262,0.2177097203728362,0.1964047936085219,0.2376830892143808,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
logistic_weighted,serious_or_fatal_recall,higher_is_better,0.6150559192914233,0.0036973813327297513,0.24056005425026922,0.04268912697813654,0.374495865041154,0.0428097142196194,0.3284217960086477,0.423751169561526,0.2517052933902429,0.2460808169452311,0.2568520882364673,descriptive_overlapping_partitions,fixed_model_test_sample_uncertainty
