seed,model,metric,direction,random_internal_point,same_random_model_2024_point,optimism_gap,optimism_gap_ci_lower,optimism_gap_ci_upper,positive_gap_means,resampling_relation,confidence_level,bootstrap_iterations
2207,logistic_weighted,ordinal_mae,lower_is_better,0.6980541033939092,0.4311234852913492,-0.26693061810255997,-0.27283124811729403,-0.2611559281020085,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_weighted,accuracy,higher_is_better,0.4837357895610323,0.6413150098586107,-0.15757922029757837,-0.16148974831048318,-0.1537152737077051,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_weighted,fatal_recall,higher_is_better,0.6394849785407726,0.22237017310252996,0.41711480543824264,0.38310359673034905,0.4493504845232584,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.6167890080933559,0.22306434241493478,0.3937246656784211,0.3850715869954619,0.40226923122822833,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.7929839847315575,0.6472499925688864,-0.14573399216267113,-0.15248317316024643,-0.13898864149377177,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,ordered_logit_unweighted,macro_f1,higher_is_better,0.2926362331795545,0.28627156710611473,0.006364666073439773,0.006034223226185206,0.006701553428836675,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,ordered_logit_unweighted,qwk,higher_is_better,0.001488589320126188,0.0004305180668999764,0.0010580712532262115,0.00019375017486304713,0.0019802395337028453,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,ordered_logit_unweighted,ordinal_mae,lower_is_better,0.23492863662766575,0.2632100429022957,0.028281406274629967,0.028125353095056288,0.028427098481809326,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,ordered_logit_unweighted,accuracy,higher_is_better,0.7795099991701934,0.7516620924034203,0.027847906766773067,0.02770361946564326,0.027990347951688893,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,ordered_logit_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,ordered_logit_unweighted,serious_or_fatal_recall,higher_is_better,0.001129305477131564,0.0003191192309226535,0.0008101862462089105,0.00031408137556906084,0.0013062911168487603,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,ordered_logit_unweighted,mean_asymmetric_cost,lower_is_better,0.4841195751389926,0.5412823129588713,0.057162737819878684,0.05691518911861965,0.0574070471096679,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,lightgbm_weighted,macro_f1,higher_is_better,0.3543631163244017,0.3584315969705118,-0.004068480646110095,-0.008688132426411923,0.0006260639344280611,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,lightgbm_weighted,qwk,higher_is_better,0.1175102410499751,0.06398466948197434,0.05352557156800075,0.045016899940808076,0.06247679811706038,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,lightgbm_weighted,ordinal_mae,lower_is_better,0.5391150112023898,0.38621974298255174,-0.15289526821983807,-0.15768077166338854,-0.1480552912122868,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,lightgbm_weighted,accuracy,higher_is_better,0.5466869969297153,0.6511934368404887,-0.10450643991077335,-0.10837567626936151,-0.10066718369061269,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,lightgbm_weighted,fatal_recall,higher_is_better,0.39413447782546496,0.1151797603195739,0.27895471750589107,0.250170683247325,0.308934653652069,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,lightgbm_weighted,serious_or_fatal_recall,higher_is_better,0.5450310559006211,0.25186485300570427,0.2931662028949168,0.2847158297550107,0.3017714627297396,random_internal_more_optimistic,independent_test_samples,0.95,2000
2207,lightgbm_weighted,mean_asymmetric_cost,lower_is_better,0.6569786739689653,0.5983829896856143,-0.058595684283350935,-0.06441712935497536,-0.05262993795657566,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,dummy_most_frequent,macro_f1,higher_is_better,0.2920448032329826,0.28606499420199677,0.005979809030985828,0.005979809030985828,0.005979809030985828,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,dummy_most_frequent,qwk,higher_is_better,0.0,0.0,0.0,0.0,0.0,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,dummy_most_frequent,ordinal_mae,lower_is_better,0.23491826404447763,0.26326949181091286,0.028351227766435227,0.028351227766435227,0.028351227766435227,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,dummy_most_frequent,accuracy,higher_is_better,0.779572234669322,0.7516125516462394,0.027959683023082604,0.027959683023082604,0.027959683023082604,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,dummy_most_frequent,fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,dummy_most_frequent,serious_or_fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,dummy_most_frequent,mean_asymmetric_cost,lower_is_better,0.48432702680275497,0.5414210270789779,0.05709400027622291,0.05709400027622291,0.05709400027622291,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,logistic_unweighted,macro_f1,higher_is_better,0.29224226084737515,0.2860628412827707,0.006179419564604438,0.006032379071591765,0.0063604227631572545,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,logistic_unweighted,qwk,higher_is_better,0.0004904667522079853,-1.7803230921042967e-05,0.0005082699831290283,5.113369173844473e-05,0.0010591198237620554,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,logistic_unweighted,ordinal_mae,lower_is_better,0.23491826404447763,0.263279399962349,0.028361135917871372,0.028278155252366433,0.02844411658337631,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,logistic_unweighted,accuracy,higher_is_better,0.7795514895029458,0.7516026434948032,0.027948846008142625,0.027875773494073885,0.028022131393615875,random_internal_more_optimistic,independent_test_samples,0.95,2000
3301,logistic_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.0,0.0,random_internal_more_optimistic,independent_test_samples,0.95,2000
