group_key,evaluation_scope,split_slug,sample_role,seed,model,metric,direction,point_estimate,ci_lower,ci_upper,confidence_level,bootstrap_iterations,interval_method,resampling_relation
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,accuracy,higher_is_better,0.6447234139526589,0.6423058250022293,0.6472995333260674,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,fatal_recall,higher_is_better,0.1218375499334221,0.10452729693741677,0.13914780292942744,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,serious_or_fatal_recall,higher_is_better,0.27667637320994054,0.2712114563803901,0.2822210698472217,0.95,2000,percentile,paired_across_models_within_group
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,1103,lightgbm_weighted,mean_asymmetric_cost,lower_is_better,0.59847216304854,0.5944194814073538,0.6024257631753644,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,dummy_most_frequent,macro_f1,higher_is_better,0.2920426196637989,0.2920426196637989,0.2920426196637989,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,dummy_most_frequent,qwk,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,dummy_most_frequent,ordinal_mae,lower_is_better,0.23493900921085387,0.23493900921085387,0.23493900921085387,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,dummy_most_frequent,accuracy,higher_is_better,0.779561862086134,0.779561862086134,0.779561862086134,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,dummy_most_frequent,fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,dummy_most_frequent,serious_or_fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,dummy_most_frequent,mean_asymmetric_cost,lower_is_better,0.4843788897186955,0.4843788897186955,0.4843788897186955,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_unweighted,macro_f1,higher_is_better,0.29212387807338036,0.29201811706139863,0.292256622842836,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_unweighted,qwk,higher_is_better,9.750548881570786e-05,-0.00021678100953770318,0.0004718942443263652,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_unweighted,ordinal_mae,lower_is_better,0.2350219898763588,0.23494938179404198,0.23510497054186374,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_unweighted,accuracy,higher_is_better,0.7794685088374409,0.779385528171936,0.7795411169197577,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_unweighted,fatal_recall,higher_is_better,0.0,0.0,0.0,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_unweighted,serious_or_fatal_recall,higher_is_better,0.00018821757952192734,4.7054394880481836e-05,0.0003764351590438547,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_unweighted,mean_asymmetric_cost,lower_is_better,0.484420380051448,0.4843166542195668,0.48452410588332917,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_weighted,macro_f1,higher_is_better,0.32304628350578035,0.3205542425735586,0.3256202398116485,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_weighted,qwk,higher_is_better,0.09924119748503124,0.0953327052184815,0.10346494487334394,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_weighted,ordinal_mae,lower_is_better,0.6980541033939092,0.6933553232096922,0.7027528835781263,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_weighted,accuracy,higher_is_better,0.4837357895610323,0.48069558542859514,0.48679570160152685,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_weighted,fatal_recall,higher_is_better,0.6394849785407726,0.6130185979971388,0.6645207439198856,0.95,2000,percentile,paired_across_models_within_group
random_seed_2207__internal_test,random_reference_test,random_seed_2207,random_internal_test,2207,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.6167890080933559,0.610153162055336,0.6235189629211367,0.95,2000,percentile,paired_across_models_within_group
