group_key,evaluation_scope,split_slug,sample_role,seed,candidate,reference,metric,direction,candidate_point,reference_point,raw_delta_candidate_minus_reference,raw_delta_ci_lower,raw_delta_ci_upper,oriented_advantage,oriented_advantage_ci_lower,oriented_advantage_ci_upper,positive_oriented_advantage_favors,resampling_relation,confidence_level,bootstrap_iterations
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,3301,lightgbm_weighted,logistic_weighted,qwk,higher_is_better,0.11200004965455745,0.09585863810385464,0.01614141155070281,0.011864954302687216,0.020135088989431477,0.01614141155070281,0.011864954302687216,0.020135088989431477,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,3301,lightgbm_weighted,logistic_weighted,ordinal_mae,lower_is_better,0.542932121815617,0.6954505850136918,-0.15251846319807483,-0.1564294456891544,-0.14856624968882248,0.15251846319807483,0.14856624968882248,0.1564294456891544,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,3301,lightgbm_weighted,logistic_weighted,accuracy,higher_is_better,0.5446850883744088,0.4855406190357647,0.05914446933864409,0.05613616089951045,0.06187245871711888,0.05914446933864409,0.05613616089951045,0.06187245871711888,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,3301,lightgbm_weighted,logistic_weighted,fatal_recall,higher_is_better,0.3750894774516822,0.6270579813886901,-0.25196850393700787,-0.27702219040801723,-0.22763063707945597,-0.25196850393700787,-0.27702219040801723,-0.22763063707945597,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,3301,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.5474095336690038,0.609053691590984,-0.06164415792198019,-0.06794974354148042,-0.055666792150957545,-0.06164415792198019,-0.06794974354148042,-0.055666792150957545,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__internal_test,random_reference_test,random_seed_3301,random_internal_test,3301,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.6608061571653805,0.7924342378225874,-0.13162808065720688,-0.13604706040992443,-0.12699127665753884,0.13162808065720688,0.12699127665753884,0.13604706040992443,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,3301,lightgbm_weighted,logistic_weighted,macro_f1,higher_is_better,0.35068123480371405,0.3362658621978783,0.014415372605835752,0.011241235580612775,0.017525204513366047,0.014415372605835752,0.011241235580612775,0.017525204513366047,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,3301,lightgbm_weighted,logistic_weighted,qwk,higher_is_better,0.048555621312046826,0.044576095014912664,0.003979526297134162,-0.0012262175791577928,0.008990974500040596,0.003979526297134162,-0.0012262175791577928,0.008990974500040596,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,3301,lightgbm_weighted,logistic_weighted,ordinal_mae,lower_is_better,0.3787390886482309,0.42539657376123335,-0.04665748511300244,-0.049323273256908454,-0.04385347825656166,0.04665748511300244,0.04385347825656166,0.04932327325690845,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,3301,lightgbm_weighted,logistic_weighted,accuracy,higher_is_better,0.6591595905951827,0.6453179030388301,0.013841687556352622,0.011671802391827746,0.0159818482665689,0.013841687556352622,0.011671802391827746,0.0159818482665689,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,3301,lightgbm_weighted,logistic_weighted,fatal_recall,higher_is_better,0.11118508655126498,0.21171770972037285,-0.10053262316910787,-0.11651131824234354,-0.08453728362183763,-0.10053262316910787,-0.11651131824234354,-0.08453728362183763,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,3301,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.21169571981331525,0.2128924169292752,-0.0011966971159599604,-0.005544696637281105,0.0031114125014958804,-0.0011966971159599604,-0.005544696637281105,0.0031114125014958804,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_3301__2024_diagnostic,random_model_on_2024,random_seed_3301,random_model_future_test,3301,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.6009987416647676,0.6443667205009561,-0.04336797883618848,-0.04660868746717921,-0.03994941888691819,0.04336797883618848,0.03994941888691819,0.04660868746717921,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,4409,lightgbm_weighted,logistic_weighted,macro_f1,higher_is_better,0.3565415437901567,0.32412101253059294,0.032420531259563734,0.029643223923389465,0.0352605504403114,0.032420531259563734,0.029643223923389465,0.0352605504403114,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,4409,lightgbm_weighted,logistic_weighted,qwk,higher_is_better,0.1168235067703639,0.09794448338481165,0.01887902338555225,0.014749551307131287,0.023273995105794015,0.01887902338555225,0.014749551307131287,0.023273995105794015,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,4409,lightgbm_weighted,logistic_weighted,ordinal_mae,lower_is_better,0.5373931623931624,0.698303045390424,-0.1609098829972616,-0.16477911584100902,-0.1567491805659282,0.1609098829972616,0.1567491805659282,0.16477911584100902,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,4409,lightgbm_weighted,logistic_weighted,accuracy,higher_is_better,0.5483984731557547,0.4824288440793295,0.06596962907642523,0.06300177371172519,0.06895693303460299,0.06596962907642523,0.06300177371172519,0.06895693303460299,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,4409,lightgbm_weighted,logistic_weighted,fatal_recall,higher_is_better,0.38797423049391555,0.651395848246242,-0.2634216177523264,-0.2884753042233357,-0.23979957050823192,-0.2634216177523264,-0.2884753042233357,-0.23979957050823192,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,4409,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.5494800244694368,0.6186532398475366,-0.06917321537809984,-0.07519763775822315,-0.06324408263140557,-0.06917321537809984,-0.07519763775822315,-0.06324408263140557,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__internal_test,random_reference_test,random_seed_4409,random_internal_test,4409,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.6544373910878766,0.7924653555721517,-0.13802796448427512,-0.14264402331756698,-0.1332755061820596,0.13802796448427512,0.1332755061820596,0.14264402331756698,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,4409,lightgbm_weighted,logistic_weighted,macro_f1,higher_is_better,0.357342636212179,0.3318456783789746,0.02549695783320438,0.022196025438894686,0.028752577806006818,0.02549695783320438,0.022196025438894686,0.028752577806006818,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,4409,lightgbm_weighted,logistic_weighted,qwk,higher_is_better,0.0641757455614721,0.03489210126576192,0.029283644295710176,0.023301844835554388,0.03497488452105738,0.029283644295710176,0.023301844835554388,0.03497488452105738,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,4409,lightgbm_weighted,logistic_weighted,ordinal_mae,lower_is_better,0.3926501332646368,0.42181973109277004,-0.02916959782813322,-0.03206327345507149,-0.026127547633438022,0.02916959782813322,0.02612754763343802,0.03206327345507149,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,4409,lightgbm_weighted,logistic_weighted,accuracy,higher_is_better,0.6469923806315456,0.647487788203355,-0.0004954075718093254,-0.002992757141300159,0.0017740545146491345,-0.0004954075718093254,-0.002992757141300159,0.0017740545146491345,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,4409,lightgbm_weighted,logistic_weighted,fatal_recall,higher_is_better,0.13448735019973368,0.2010652463382157,-0.06657789613848203,-0.08322237017310254,-0.04993342210386151,-0.06657789613848203,-0.08322237017310254,-0.04993342210386151,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,4409,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.2527823207946069,0.19490207028601061,0.05788025050859627,0.05277135107104391,0.06290737564322472,0.05788025050859627,0.05277135107104391,0.06290737564322472,lightgbm_weighted,paired_same_collision_records,0.95,2000
