dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
cas,4409,internal,logistic_weighted,mean_asymmetric_cost,0.83568651524452631,0.81133619807652957,0.86024145692653975
cas,4409,internal,lightgbm_legacy,mean_asymmetric_cost,0.77900552486187846,0.75547370574994888,0.80458358911397587
cas,4409,internal,lightgbm_revised,mean_asymmetric_cost,0.80969920196439538,0.78575813382443216,0.83425414364640882
cas,4409,future,dummy_most_frequent,macro_f1,0.29211966176366094,0.29211966176366094,0.29211966176366094
cas,4409,future,logistic_weighted,macro_f1,0.32972517964334985,0.32221061894962388,0.3376427674194713
cas,4409,future,lightgbm_legacy,macro_f1,0.33930364467106916,0.33114796074581021,0.34743890349918927
cas,4409,future,lightgbm_revised,macro_f1,0.33485135709390135,0.32661601052641631,0.34300067026892339
cas,4409,future,dummy_most_frequent,qwk,0,0,0
cas,4409,future,logistic_weighted,qwk,0.10012718104664753,0.088018751961255401,0.11266918097250218
cas,4409,future,lightgbm_legacy,qwk,0.09590296184826308,0.08147658292601645,0.10992687617254415
cas,4409,future,lightgbm_revised,qwk,0.10130310719727698,0.087399821720902202,0.11448363918502781
cas,4409,future,dummy_most_frequent,ordinal_mae,0.24464048567634225,0.24464048567634225,0.24464048567634225
cas,4409,future,logistic_weighted,ordinal_mae,0.72860937203566689,0.71428097135268453,0.7437867577309808
cas,4409,future,lightgbm_legacy,ordinal_mae,0.64598747865680139,0.63213574274331241,0.66012853348510714
cas,4409,future,lightgbm_revised,ordinal_mae,0.68184405236198065,0.66761525327262383,0.69683409220261805
cas,4409,future,dummy_most_frequent,accuracy,0.77992790741794726,0.77992790741794726,0.77992790741794726
cas,4409,future,logistic_weighted,accuracy,0.47903623600834755,0.47011952191235062,0.48823989755264657
cas,4409,future,lightgbm_legacy,accuracy,0.51773856953139819,0.50853727945361415,0.52684737241510149
cas,4409,future,lightgbm_revised,accuracy,0.50256118383608428,0.49326503509770442,0.51166761525327265
cas,4409,future,dummy_most_frequent,fatal_recall,0,0,0
cas,4409,future,logistic_weighted,fatal_recall,0.55984555984555984,0.50193050193050193,0.6216216216216216
cas,4409,future,lightgbm_legacy,fatal_recall,0.38223938223938225,0.32432432432432434,0.44015444015444016
cas,4409,future,lightgbm_revised,fatal_recall,0.47104247104247104,0.40926640926640928,0.53281853281853286
cas,4409,future,dummy_most_frequent,serious_or_fatal_recall,0,0,0
cas,4409,future,logistic_weighted,serious_or_fatal_recall,0.64310344827586208,0.62327586206896557,0.66293103448275859
cas,4409,future,lightgbm_legacy,serious_or_fatal_recall,0.57456896551724135,0.55344827586206902,0.59439655172413797
cas,4409,future,lightgbm_revised,serious_or_fatal_recall,0.60301724137931034,0.5818965517241379,0.62284482758620685
cas,4409,future,dummy_most_frequent,mean_asymmetric_cost,0.51384936444697404,0.51384936444697404,0.51384936444697404
cas,4409,future,logistic_weighted,mean_asymmetric_cost,0.82878011762473913,0.8118004173781066,0.84623411117435021
cas,4409,future,lightgbm_legacy,mean_asymmetric_cost,0.76996774805539747,0.75402912160880287,0.78618857901726424
cas,4409,future,lightgbm_revised,mean_asymmetric_cost,0.79520015177385694,0.77897694934547523,0.81275137545057863
cas,5501,internal,dummy_most_frequent,macro_f1,0.29214085910257881,0.29214085910257881,0.29214085910257881
cas,5501,internal,logistic_weighted,macro_f1,0.32372471291894406,0.31237953921009304,0.33515873193581813
cas,5501,internal,lightgbm_legacy,macro_f1,0.33163954303522297,0.32000435863875853,0.34317273164942202
cas,5501,internal,lightgbm_revised,macro_f1,0.33665928235520548,0.32514021025994888,0.34863961046892616
cas,5501,internal,dummy_most_frequent,qwk,0,0,0
cas,5501,internal,logistic_weighted,qwk,0.09823691669204615,0.079357492559586254,0.11676358886560385
cas,5501,internal,lightgbm_legacy,qwk,0.1036386533794994,0.082526304506862908,0.12390218113545511
cas,5501,internal,lightgbm_revised,qwk,0.10767278698965665,0.08717788894412748,0.12800369054331226
cas,5501,internal,dummy_most_frequent,ordinal_mae,0.24718641293226928,0.24718641293226928,0.24718641293226928
cas,5501,internal,logistic_weighted,ordinal_mae,0.73889912011458969,0.71638019234704309,0.76202169019848576
cas,5501,internal,lightgbm_legacy,ordinal_mae,0.65172907714344175,0.63167587476979747,0.67137303048905261
